noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.04,1.09,33.42,7.51
26270,-15,1.04,1.11,40.35,14.68
26270,-10,1.06,1.20,51.02,25.67
26270,-5,1.14,1.41,66.08,43.50
26270,0,1.32,1.75,78.88,60.89
26270,5,1.63,2.21,87.01,74.02
26270,10,2.06,2.76,92.31,83.24
26270,15,2.56,3.23,95.44,89.23
26270,20,3.00,3.60,97.11,93.04
26270,25,3.34,3.87,98.14,95.43
26270,30,3.64,4.06,98.85,97.18
SIGNAL019,-20,1.11,1.11,29.82,5.16
SIGNAL019,-15,1.11,1.23,34.32,10.03
SIGNAL019,-10,1.06,1.15,44.37,20.57
SIGNAL019,-5,1.15,1.37,59.62,37.17
SIGNAL019,0,1.37,1.75,76.18,57.46
SIGNAL019,5,1.77,2.25,87.35,73.57
SIGNAL019,10,2.26,2.79,93.44,84.62
SIGNAL019,15,2.77,3.30,96.44,90.87
SIGNAL019,20,3.19,3.66,97.96,94.44
SIGNAL019,25,3.50,3.91,98.72,96.45
SIGNAL019,30,3.78,4.11,99.14,97.70
SIGNAL020,-20,1.08,1.11,33.42,1.92
SIGNAL020,-15,1.06,1.09,39.70,7.67
SIGNAL020,-10,1.07,1.23,52.59,22.83
SIGNAL020,-5,1.25,1.57,69.80,45.33
SIGNAL020,0,1.55,2.01,82.42,62.90
SIGNAL020,5,1.91,2.45,89.58,75.31
SIGNAL020,10,2.35,2.87,93.81,83.71
SIGNAL020,15,2.78,3.25,96.33,89.60
SIGNAL020,20,3.13,3.62,97.81,93.36
SIGNAL020,25,3.43,3.88,98.68,95.80
SIGNAL020,30,3.68,4.06,99.20,97.38
SIGNAL021,-20,1.05,1.12,35.28,2.11
SIGNAL021,-15,1.04,1.15,39.34,6.16
SIGNAL021,-10,1.04,1.15,47.37,16.60
SIGNAL021,-5,1.13,1.35,62.12,35.37
SIGNAL021,0,1.35,1.77,77.74,56.34
SIGNAL021,5,1.70,2.26,87.08,72.29
SIGNAL021,10,2.14,2.78,92.65,82.36
SIGNAL021,15,2.49,3.17,95.71,88.36
SIGNAL021,20,2.94,3.51,97.43,92.56
SIGNAL021,25,3.26,3.75,98.37,95.29
SIGNAL021,30,3.57,3.96,98.95,96.92
