noise, snr_db, SD
SIGNAL019, -20, 1.08
SIGNAL019, -15, 1.42
SIGNAL019, -10, 1.78
SIGNAL019, -5, 2.12
SIGNAL019, 0, 2.44
SIGNAL019, 5, 2.70
SIGNAL019, 10, 2.86
SIGNAL019, 15, 2.91
SIGNAL019, 20, 2.82
SIGNAL019, 25, 2.62
SIGNAL019, 30, 2.32
26270, -20, 1.11
26270, -15, 1.42
26270, -10, 1.76
26270, -5, 2.07
26270, 0, 2.35
26270, 5, 2.57
26270, 10, 2.74
26270, 15, 2.80
26270, 20, 2.77
26270, 25, 2.60
26270, 30, 2.33
SIGNAL020, -20, 0.67
SIGNAL020, -15, 0.94
SIGNAL020, -10, 1.24
SIGNAL020, -5, 1.56
SIGNAL020, 0, 1.88
SIGNAL020, 5, 2.19
SIGNAL020, 10, 2.47
SIGNAL020, 15, 2.71
SIGNAL020, 20, 2.88
SIGNAL020, 25, 2.93
SIGNAL020, 30, 2.86
SIGNAL021, -20, 0.83
SIGNAL021, -15, 1.11
SIGNAL021, -10, 1.44
SIGNAL021, -5, 1.77
SIGNAL021, 0, 2.09
SIGNAL021, 5, 2.40
SIGNAL021, 10, 2.69
SIGNAL021, 15, 2.89
SIGNAL021, 20, 3.00
SIGNAL021, 25, 2.95
SIGNAL021, 30, 2.72
