Epoch, Train loss, Val. loss
0,345.33434899776233,307.4318046951294
1,345.5016856506762,307.4318046951294
2,345.99678075883236,307.4318046951294
3,347.19603054231453,307.4318046951294
4,346.74508016632774,307.4318046951294
5,346.45787810141275,307.4318046951294
6,347.1810829377979,307.4318046951294
7,346.60758599823504,307.4318046951294
8,347.9031294701567,307.4318046951294
9,347.3624300285766,307.4318046951294
10,347.0066178163095,307.4318046951294
11,346.3282544826396,307.4318046951294
12,345.878961734973,307.4318046951294
13,347.0936155825529,307.4318046951294
14,347.3591109178296,307.4318046951294
15,347.6506788223121,307.4318046951294
16,345.6083482751055,307.4318046951294
0,349.15346137988735
0,344.07641129647305
0,343.4189783573335,305.35650476837156
1,343.33590781107165,305.35650476837156
0,342.98098710705153
0,344.405638680696,305.35650537490847
